batch,prawn.id,size,algae.id,colour,day,lws,mws,sws,sum(sml),ppn(sw),ppn(mw),ppn(lw),hue_sam,hue,xcoord,ycoord,jnd
1,B1G1,6,p4,green,0,17081.081,15548.117,4339.63,36968.828,0.117386194,0.420573706,0.4620401,0.765227613,0.132998365,0.029321169,-0.264480152,14.01190161
1,B1G1,6,p7,green,5,28990.632,26723.915,12247.219,67961.766,0.180207486,0.393219844,0.42657267,0.639585028,0.219820849,0.02358401,-0.187540096,9.222082714
1,B1G1,6,p22,green,10,45785.936,45083.487,38422.095,129291.518,0.297174135,0.348696401,0.354129464,0.40565173,0.422827545,0.003841756,-0.044285793,2.478372967
1,B1G1,6,p14,green,15,51459.159,50203.52,43658.809,145321.488,0.300429135,0.345465221,0.354105643,0.399141729,0.429447752,0.006109701,-0.040299248,2.513416988
1,B1G1,6,p7,green,20,31163.364,30180.133,25763.252,87106.749,0.295766428,0.346472958,0.357760614,0.408467144,0.419983425,0.007981578,-0.046009875,2.425530462
1,B1G1,6,p20,green,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,B1G1,6,p17,green,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,B1G2,6.15625,p17,green,0,18213.57,16554.196,4079.663,38847.429,0.10501758,0.426133632,0.468848788,0.789964839,0.117340384,0.030204177,-0.279628547,15.81875044
1,B1G2,6.15625,p24,green,5,22187.632,19507.327,3410.105,45105.064,0.075603595,0.432486406,0.491909999,0.84879281,0.081786985,0.042018826,-0.315653175,18.35627102
1,B1G2,6.15625,p6,green,10,46616.06,44616.838,31308.983,122541.881,0.255496184,0.364094607,0.380409209,0.489007632,0.34317646,0.011536166,-0.095330649,3.648235804
1,B1G2,6.15625,p13,green,15,51497.344,49737.693,40454.895,141689.932,0.285517075,0.351031949,0.363450975,0.428965849,0.399613574,0.008781578,-0.058562717,2.684579949
1,B1G2,6.15625,p17,green,20,45193.761,42489.374,29017.363,116700.498,0.248648151,0.364089055,0.387262795,0.502703699,0.33093437,0.016386309,-0.103717743,4.74448886
1,B1G2,6.15625,p13,green,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,B1G2,6.15625,p23,green,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,B1G3,8.6875,p26,green,0,13641.252,12556.141,3302.031,29499.424,0.11193544,0.425640209,0.462424351,0.77612912,0.126044259,0.026010316,-0.271155935,15.15529721
1,B1G3,8.6875,p13,green,5,16275.96,14190.757,1024.698,31491.415,0.032538963,0.450623035,0.516838002,0.934922073,0.033633358,0.046821052,-0.368396362,29.06581379
1,B1G3,8.6875,p26,green,10,29519.534,26842.226,9060.584,65422.344,0.138493723,0.410291414,0.451214863,0.723012554,0.160757648,0.028937249,-0.238628813,12.50581825
1,B1G3,8.6875,p23,green,15,25359.191,23424.972,13440.141,62224.304,0.215995039,0.376460169,0.407544792,0.568009921,0.275502134,0.021980147,-0.143709474,6.468297952
1,B1G3,8.6875,p9,green,20,21302.241,19369.694,11006.277,51678.212,0.212977125,0.374813548,0.412209327,0.574045751,0.270611098,0.026442809,-0.147405649,6.443695827
1,B1G3,8.6875,p13,green,25,26997.693,25398.92,17998.996,70395.609,0.255683504,0.360802618,0.383513878,0.488632991,0.343514494,0.016059286,-0.09510123,4.17188954
1,B1G3,8.6875,p4,green,30,21441.938,19517.179,13096.35,54055.467,0.242276142,0.361058374,0.396665484,0.515447716,0.319742,0.025178029,-0.111521828,4.548465625
2,B2G2,5.375,p15,green,0,14048.033,12629.931,3099.508,29777.472,0.104089024,0.424143829,0.471767147,0.791821952,0.116182329,0.033674771,-0.280765792,15.88603346
2,B2G2,5.375,p15,green,5,22114.575,19952.362,8118.669,50185.606,0.16177286,0.397571407,0.440655733,0.676454281,0.192994061,0.030465219,-0.21011781,10.41697085
2,B2G2,5.375,p15,green,10,33477.738,30930.15,17221.932,81629.82,0.210975989,0.378907487,0.410116524,0.578048022,0.267388553,0.022068121,-0.14985653,6.946047673
2,B2G2,5.375,p15,green,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,B2G2,5.375,p16,green,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,B2G2,5.375,p16,green,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,B2G2,5.375,p4,green,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,B2G3,7.0625,p18,green,0,15204.157,13781.926,3818.613,32804.696,0.116404462,0.420120522,0.463475016,0.767191075,0.131739532,0.030656257,-0.265682522,14.14763386
2,B2G3,7.0625,p1,green,5,25912.677,24247.297,12296.953,62456.927,0.196886936,0.388224304,0.41488876,0.606226128,0.245154692,0.018854618,-0.167112025,7.687972675
2,B2G3,7.0625,p1,green,10,36311.582,35313.432,27094.387,98719.401,0.274458584,0.357715217,0.367826199,0.451082832,0.378281071,0.007149543,-0.072106547,3.329327412
2,B2G3,7.0625,p24,green,15,42967.268,41608.444,33224.596,117800.308,0.282041673,0.353211674,0.364746652,0.435916653,0.392838502,0.008156461,-0.062819197,2.327973926
2,B2G3,7.0625,p23,green,20,39761.892,38323.02,29827.925,107912.837,0.27640757,0.35512939,0.36846304,0.447184861,0.381993451,0.009428314,-0.069719537,3.292177571
2,B2G3,7.0625,p25,green,25,37058.29,35840.39,29337.113,102235.793,0.286955401,0.350565971,0.362478628,0.426089198,0.402436821,0.008423521,-0.056801134,2.182523026
2,B2G3,7.0625,p8,green,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,B2G4,6.21875,p9,green,0,16913.875,15241.959,4052.347,36208.181,0.111917994,0.420953458,0.467128548,0.776164011,0.12602214,0.032650719,-0.271177301,14.64641704
2,B2G4,6.21875,p18,green,5,25880.292,24725.98,16448.483,67054.755,0.245299278,0.368743126,0.385957595,0.509401444,0.325028546,0.012172468,-0.107819258,4.724077441
2,B2G4,6.21875,p18,green,10,30072.876,29388.442,23725.873,83187.191,0.285210652,0.353280855,0.361508492,0.429578696,0.399013574,0.005817818,-0.058938007,2.910004208
2,B2G4,6.21875,p1,green,15,41580.626,40716.981,33700.95,115998.557,0.290529045,0.351012823,0.358458132,0.41894191,0.409500971,0.005264628,-0.052424332,2.633449699
2,B2G4,6.21875,p7,green,20,43122.597,41595.737,34603.012,119321.346,0.289998505,0.348602647,0.361398848,0.420002989,0.408447739,0.009048281,-0.053074108,2.696917476
2,B2G4,6.21875,p18,green,25,37713.795,36393.059,30592.932,104699.786,0.2921967,0.347594397,0.360208902,0.415606599,0.412821896,0.008919802,-0.05038188,2.51438577
2,B2G4,6.21875,p12,green,30,39781.749,38403.992,32482.595,110668.336,0.293512997,0.34701879,0.359468213,0.412974006,0.415454207,0.008803072,-0.048769752,2.005577919
