batch,prawn.id,size,algae.id,colour,day,swMean,lwMean,sum(sml),ppn(sw),ppn(lw),hue_sam,hue,jnd
1,B1G1,6,p4,green,0,4462.656,14169.057,18631.713,0.239519361,0.760480639,0.520961277,0.314957869,13.91527019
1,B1G1,6,p7,green,5,12339.218,24874.714,37213.932,0.331575228,0.668424772,0.336849543,0.496054668,9.191836344
1,B1G1,6,p7,green,10,38328.596,44297.892,82626.488,0.463877831,0.536122169,0.072244339,0.8652465,2.737108777
1,B1G1,6,p22,green,15,43606.105,49317.967,92924.072,0.469265972,0.530734028,0.061468055,0.884182939,2.577073778
1,B1G1,6,p14,green,20,25683.227,29547.395,55230.622,0.465017884,0.534982116,0.069964231,0.869221365,2.878421161
1,B1G1,6,p20,green,25,NA,NA,NA,NA,NA,NA,NA,NA
1,B1G1,6,p17,green,30,NA,NA,NA,NA,NA,NA,NA,NA
1,B1G2,6.15625,p24,green,0,4220.379,15031.758,19252.137,0.219216132,0.780783868,0.561567737,0.280764166,14.83326631
1,B1G2,6.15625,p17,green,5,3598.438,17420.366,21018.804,0.171200892,0.828799108,0.657598215,0.206565006,19.32075473
1,B1G2,6.15625,p17,green,10,31321.778,42929.946,74251.724,0.421832333,0.578167667,0.156335333,0.729602082,4.800199793
1,B1G2,6.15625,p6,green,15,40440.767,48485.184,88925.951,0.454769013,0.545230987,0.090461973,0.834085048,2.573239179
1,B1G2,6.15625,p13,green,20,29069.914,40636.13,69706.044,0.417035774,0.582964226,0.165928452,0.715371124,4.772976109
1,B1G2,6.15625,p13,green,25,NA,NA,NA,NA,NA,NA,NA,NA
1,B1G2,6.15625,p23,green,30,NA,NA,NA,NA,NA,NA,NA,NA
1,B1G3,8.6875,p13,green,0,3415.446,11457.944,14873.39,0.22963467,0.77036533,0.540730661,0.298085416,14.85152042
1,B1G3,8.6875,p26,green,5,1207.254,12509.096,13716.35,0.088015689,0.911984311,0.823968621,0.096510092,28.03599747
1,B1G3,8.6875,p26,green,10,9219.744,24597.837,33817.581,0.272631682,0.727368318,0.454736635,0.374819298,12.66707885
1,B1G3,8.6875,p9,green,15,13469.884,22063.179,35533.063,0.379080295,0.620919705,0.24183941,0.610514197,6.668877071
1,B1G3,8.6875,p4,green,20,11033.842,18157.085,29190.927,0.37798875,0.62201125,0.244022501,0.607687963,6.348802538
1,B1G3,8.6875,p23,green,25,17972.627,24352.303,42324.93,0.424634536,0.575365464,0.150730929,0.738025763,4.69369835
1,B1G3,8.6875,p13,green,30,13088.745,18485.857,31574.602,0.414533966,0.585466034,0.170932067,0.708041018,4.891551378
2,B2G2,5.375,p15,green,0,3217.04,11429.709,14646.749,0.219641915,0.780358085,0.56071617,0.281462984,15.55491831
2,B2G2,5.375,p15,green,5,8212.542,18369.508,26582.05,0.308950664,0.691049336,0.382098672,0.447074685,10.2276649
2,B2G2,5.375,p15,green,10,17281.946,29087.412,46369.358,0.372701861,0.627298139,0.254596279,0.594138317,6.221174923
2,B2G2,5.375,p15,green,15,NA,NA,NA,NA,NA,NA,NA,NA
2,B2G2,5.375,p16,green,20,NA,NA,NA,NA,NA,NA,NA,NA
2,B2G2,5.375,p16,green,25,NA,NA,NA,NA,NA,NA,NA,NA
2,B2G2,5.375,p4,green,30,NA,NA,NA,NA,NA,NA,NA,NA
2,B2G3,7.0625,p18,green,0,3932.868,12541.262,16474.13,0.238729936,0.761270064,0.522540128,0.313594278,14.42281262
2,B2G3,7.0625,p1,green,5,12353.777,22765.855,35119.632,0.351762712,0.648237288,0.296474576,0.542644983,8.108507066
2,B2G3,7.0625,p1,green,10,27022.16,34322.126,61344.286,0.440500033,0.559499967,0.118999934,0.787310203,3.669810399
2,B2G3,7.0625,p25,green,15,33168.083,40521.236,73689.319,0.450107064,0.549892936,0.099785873,0.818535817,2.580229183
2,B2G3,7.0625,p23,green,20,29769.948,37211.343,66981.291,0.44445169,0.55554831,0.11109662,0.800023477,3.76504961
2,B2G3,7.0625,p24,green,25,29268.276,34959.479,64227.755,0.455695143,0.544304857,0.088609714,0.837205726,2.254910427
2,B2G3,7.0625,p8,green,30,NA,NA,NA,NA,NA,NA,NA,NA
2,B2G4,6.21875,p9,green,0,4177.864,13832.659,18010.523,0.231967945,0.768032055,0.536064111,0.302028988,14.77133307
2,B2G4,6.21875,p18,green,5,16428.271,23695.418,40123.689,0.409440692,0.590559308,0.181118615,0.693310032,5.288825589
2,B2G4,6.21875,p18,green,10,23627.956,28704.816,52332.772,0.451494448,0.548505552,0.097011104,0.823135602,3.505602089
2,B2G4,6.21875,p18,green,15,33602.385,39868.879,73471.264,0.457354116,0.542645884,0.085291768,0.842822418,3.04061902
2,B2G4,6.21875,p12,green,20,34552.452,40605.308,75157.76,0.459732328,0.540267672,0.080535343,0.850934366,2.085516975
2,B2G4,6.21875,p1,green,25,30515.852,35558.803,66074.655,0.461838991,0.538161009,0.076322018,0.858179956,2.831520816
2,B2G4,6.21875,p7,green,30,32403.296,37548.473,69951.769,0.463223396,0.536776604,0.073553208,0.862972404,2.817242873
3,B3G2,6.21875,p1,green,0,4651.817,18829.029,23480.846,0.198111133,0.801888867,0.603777734,0.247055597,17.16725416
3,B3G2,6.21875,p16,green,5,17277.827,26591.628,43869.455,0.393846402,0.606153598,0.212307196,0.649746868,6.304433232
3,B3G2,6.21875,p16,green,10,11816.383,28910.322,40726.705,0.290138448,0.709861552,0.419723103,0.408725403,11.26015646
3,B3G2,6.21875,p11,green,15,19230.296,34069.757,53300.053,0.360793187,0.639206813,0.278413626,0.564438895,7.953878903
3,B3G2,6.21875,p22,green,20,20926.041,35322.91,56248.951,0.372025445,0.627974555,0.255949111,0.592421208,7.187326468
3,B3G2,6.21875,p19,green,25,31705.449,44616.737,76322.186,0.415415892,0.584584108,0.169168215,0.710617834,4.496453904
3,B3G2,6.21875,p12,green,30,38408.574,47245.354,85653.928,0.448415792,0.551584208,0.103168415,0.81295981,2.611114213
3,B3G3,13.375,p12,green,0,1909.243,8186.358,10095.601,0.189116329,0.810883671,0.621767342,0.233222515,16.98700717
3,B3G3,13.375,p24,green,5,1546.755,8267.028,9813.783,0.157610475,0.842389525,0.68477905,0.187099282,19.50602831
3,B3G3,13.375,p24,green,10,3063.294,9480.562,12543.856,0.244206726,0.755793274,0.511586549,0.323113123,14.34704362
3,B3G3,13.375,p14,green,15,3967.559,9540.958,13508.517,0.293707962,0.706292038,0.412584076,0.415844929,11.36663463
3,B3G3,13.375,p8,green,20,8005.842,17449.95,25455.792,0.31449982,0.68550018,0.37100036,0.458788822,9.968420303
3,B3G3,13.375,p7,green,25,3187.904,7579.719,10767.623,0.296063857,0.703936143,0.407872285,0.420583402,11.09194598
3,B3G3,13.375,p10,green,30,7771.64,12634.613,20406.253,0.380846008,0.619153992,0.238307983,0.615107087,6.765466938
3,B3G4,8.59375,p21,green,0,2229.056,9414.266,11643.322,0.191445019,0.808554981,0.617109962,0.236774274,17.90059462
3,B3G4,8.59375,p12,green,5,2695.289,11092.096,13787.385,0.1954895,0.8045105,0.609021,0.242991857,16.51458052
3,B3G4,8.59375,p12,green,10,12423.232,28192.905,40616.137,0.305869364,0.694130636,0.388261272,0.440651008,10.59822563
3,B3G4,8.59375,p5,green,15,12147.309,22259.682,34406.991,0.353047699,0.646952301,0.293904602,0.545709009,8.041243843
3,B3G4,8.59375,p20,green,20,14963.399,28881.446,43844.845,0.341280691,0.658719309,0.317438618,0.518097293,8.715979116
3,B3G4,8.59375,p3,green,25,15783.386,26949.338,42732.724,0.369351273,0.630648727,0.261297454,0.585668783,6.801489481
3,B3G4,8.59375,p22,green,30,23149.514,35987.062,59136.576,0.391458477,0.608541523,0.217083045,0.643273241,6.239228484
4,B4G1,6.125,p6,green,0,2344.599,10250.547,12595.146,0.186150998,0.813849002,0.627698004,0.22872916,17.46845233
4,B4G1,6.125,p11,green,5,3068.883,11184.917,14253.8,0.215302796,0.784697204,0.569394407,0.274376913,16.25839394
4,B4G1,6.125,p11,green,10,NA,NA,NA,NA,NA,NA,NA,NA
4,B4G1,6.125,p3,green,15,19834.855,27650.92,47485.775,0.417700985,0.582299015,0.16459803,0.717330743,4.466895498
4,B4G1,6.125,p19,green,20,24272.985,33680.049,57953.034,0.4188389,0.5811611,0.1623222,0.72069328,4.334366939
4,B4G1,6.125,p17,green,25,25187.292,34193.178,59380.47,0.424167946,0.575832054,0.151664108,0.736617462,4.68277452
4,B4G1,6.125,p2,green,30,24944.096,34698.706,59642.802,0.418224751,0.581775249,0.163550499,0.718876837,4.922364699
4,B4G2,9.4375,p16,green,0,2530.611,11692.333,14222.944,0.177924556,0.822075444,0.644150887,0.216433367,18.96044688
4,B4G2,9.4375,p5,green,5,18413.148,26335.967,44749.115,0.411475132,0.588524868,0.177049736,0.699163543,5.188387817
4,B4G2,9.4375,p5,green,10,25080.829,33555.317,58636.146,0.427736656,0.572263344,0.144526688,0.747447238,3.914724758
4,B4G2,9.4375,p1,green,15,25240.324,34470.553,59710.877,0.422708981,0.577291019,0.154582037,0.732228578,4.658843665
4,B4G2,9.4375,p24,green,20,31527.67,39869.557,71397.227,0.441581156,0.558418844,0.116837689,0.790770512,2.911853689
4,B4G2,9.4375,p14,green,25,29763.467,40816.663,70580.13,0.421697537,0.578302463,0.156604925,0.72919893,4.900657479
4,B4G2,9.4375,p9,green,30,23395.91,35087.661,58483.571,0.400042432,0.599957568,0.199915135,0.666784543,5.653846906
