ID,jnd,morph,seaweed
1,4.258915191,G,lettuce
2,0.854387067,G,lettuce
3,1.33518424,G,lettuce
4,4.094087439,G,lettuce
5,0.63816198,G,lettuce
6,0.098558249,G,lettuce
7,0.877692466,G,lettuce
8,0.688783351,G,lettuce
9,2.409559782,G,lettuce
10,1.744990386,G,lettuce
11,4.235208365,G,lettuce
12,3.822792003,G,lettuce
13,2.731025849,G,lettuce
14,1.524802625,G,lettuce
15,0.225907567,G,lettuce
16,1.004193303,G,lettuce
17,0.305436573,G,lettuce
18,2.023299139,G,lettuce
19,0.700594612,G,lettuce
20,2.460134611,G,lettuce
21,0.070596538,G,lettuce
22,4.307725843,G,lettuce
23,0.991085082,G,lettuce
24,5.676233949,G,lettuce
25,0.819497422,G,lettuce
26,1.636524671,G,lettuce
27,2.634408495,G,lettuce
28,3.3791882,G,lettuce
29,0.611600654,G,lettuce
30,0.255775254,G,lettuce
31,2.248878524,G,lettuce
32,3.783710926,G,lettuce
33,0.323921172,G,lettuce
34,2.132261511,G,lettuce
35,1.569212672,G,lettuce
36,1.882512553,G,lettuce
37,0.506961045,G,lettuce
38,0.998466816,G,lettuce
39,3.451334762,G,lettuce
40,2.513650917,G,lettuce
41,0.501731191,G,lettuce
42,3.864509175,G,lettuce
43,0.364865515,G,lettuce
44,1.388238568,G,lettuce
45,0.95583668,G,lettuce
46,2.651257316,G,lettuce
47,3.86063785,G,lettuce
48,2.239753897,G,lettuce
49,0.536872937,G,lettuce
50,0.187153858,G,lettuce
51,0.333655765,G,lettuce
52,1.756560406,G,lettuce
53,2.136223166,G,lettuce
54,1.828265344,G,lettuce
55,1.166347732,G,lettuce
56,1.821334966,G,lettuce
57,4.018309296,G,lettuce
58,4.821876023,G,lettuce
59,1.271885056,G,lettuce
60,2.491379023,G,lettuce
61,1.840336977,G,lettuce
62,1.568748802,G,lettuce
63,1.655442307,G,lettuce
64,3.062748756,G,lettuce
1,9.783456489,G,dulse
2,5.545829561,G,dulse
3,7.952736095,G,dulse
4,7.490515838,G,dulse
5,7.357692627,G,dulse
6,6.424990656,G,dulse
7,4.592821783,G,dulse
8,7.068433091,G,dulse
9,7.726014011,G,dulse
10,5.110485896,G,dulse
11,1.337546311,G,dulse
12,2.569616903,G,dulse
13,6.84070716,G,dulse
14,6.973314714,G,dulse
15,6.861668505,G,dulse
16,5.429892327,G,dulse
17,6.286003266,G,dulse
18,3.892161092,G,dulse
19,5.995198067,G,dulse
20,8.437486184,G,dulse
21,6.279760543,G,dulse
22,8.735150447,G,dulse
23,6.128240865,G,dulse
