ID,jnd,morph,seaweed
1,3.177101881,G,lettuce
2,0.119058582,G,lettuce
3,0.341916074,G,lettuce
4,1.01909173,G,lettuce
5,1.084006337,G,lettuce
6,1.948246957,G,lettuce
7,4.985747296,G,lettuce
8,1.345956219,G,lettuce
9,2.728304866,G,lettuce
10,1.82392813,G,lettuce
11,0.753569467,G,lettuce
12,1.738570428,G,lettuce
13,2.274188947,G,lettuce
14,1.265395049,G,lettuce
15,1.609864068,G,lettuce
16,2.925400834,G,lettuce
17,0.074553403,G,lettuce
18,1.889544233,G,lettuce
19,2.478144674,G,lettuce
20,1.671299764,G,lettuce
21,1.33342845,G,lettuce
22,2.388474928,G,lettuce
23,0.079027324,G,lettuce
24,2.431818891,G,lettuce
25,0.130695294,G,lettuce
26,3.324204964,G,lettuce
27,1.18516987,G,lettuce
28,0.176333893,G,lettuce
29,2.639808126,G,lettuce
30,0.745821182,G,lettuce
31,2.055305124,G,lettuce
32,3.55706997,G,lettuce
33,0.267473517,G,lettuce
34,2.007902626,G,lettuce
35,1.477985603,G,lettuce
36,1.879849754,G,lettuce
37,0.491325224,G,lettuce
38,0.891945744,G,lettuce
39,3.253118339,G,lettuce
40,2.398530905,G,lettuce
41,0.574833789,G,lettuce
42,3.442617976,G,lettuce
43,0.005759776,G,lettuce
44,1.494711062,G,lettuce
45,3.120887804,G,lettuce
46,2.284679066,G,lettuce
47,0.794989946,G,lettuce
48,3.418707127,G,lettuce
49,4.808484735,G,lettuce
50,0.83203624,G,lettuce
51,3.270808744,G,lettuce
52,1.411809972,G,lettuce
53,3.483995791,G,lettuce
54,1.497948358,G,lettuce
55,0.609098043,G,lettuce
56,0.714332086,G,lettuce
57,1.247077323,G,lettuce
58,2.308289145,G,lettuce
59,0.539880023,G,lettuce
60,1.165227626,G,lettuce
61,3.662389707,G,lettuce
62,0.949334383,G,lettuce
63,0.875739188,G,lettuce
64,0.242786493,G,lettuce
1,4.10366182,G,dulse
2,5.945810823,G,dulse
3,4.283268215,G,dulse
4,4.20646145,G,dulse
5,7.206778773,G,dulse
6,4.556885757,G,dulse
7,2.049141639,G,dulse
8,7.509333818,G,dulse
9,4.037485762,G,dulse
10,4.887647641,G,dulse
11,6.068094043,G,dulse
12,4.86288182,G,dulse
13,6.833399083,G,dulse
14,4.339980597,G,dulse
15,3.979115376,G,dulse
16,7.176506433,G,dulse
17,5.896687565,G,dulse
18,6.978737525,G,dulse
19,9.801294791,G,dulse
20,5.52056715,G,dulse
21,7.180527726,G,dulse
22,6.760529052,G,dulse
23,5.88392954,G,dulse
24,3.290345581,G,dulse
25,7.779251049,G,dulse
26,6.807663977,G,dulse
27,7.837889948,G,dulse
28,5.598003276,G,dulse
29,8.168555024,G,dulse
30,6.855592993,G,dulse
31,13.23514316,G,dulse
32,8.72610327,G,dulse
33,12.98044353,G,dulse
34,13.26980988,G,dulse
35,10.7265075,G,dulse
36,10.75728294,G,dulse
37,10.78749968,G,dulse
38,10.26668858,G,dulse
39,6.821124725,G,dulse
40,9.568961575,G,dulse
41,9.740463135,G,dulse
42,7.167023163,G,dulse
43,6.455238311,G,dulse
44,11.93552297,G,dulse
45,8.482617218,G,dulse
46,6.471124618,G,dulse
47,2.420322891,G,dulse
48,2.470432446,G,dulse
49,9.518352115,G,dulse
50,5.168494801,G,dulse
51,6.404083715,G,dulse
52,7.140258115,G,dulse
53,7.286294187,G,dulse
54,4.797692866,G,dulse
55,3.052062749,G,dulse
56,5.907539256,G,dulse
57,2.713482688,G,dulse
58,7.202511067,G,dulse
59,3.296943354,G,dulse
60,4.335280554,G,dulse
61,6.836519914,G,dulse
62,5.554067336,G,dulse
63,5.483437836,G,dulse
64,3.170184171,G,dulse
65,6.196241231,R,lettuce
66,4.689106471,R,lettuce
67,7.932934868,R,lettuce
68,7.211943396,R,lettuce
69,5.254486065,R,lettuce
70,6.958382241,R,lettuce
71,6.792477898,R,lettuce
72,7.950381197,R,lettuce
73,5.69311591,R,lettuce
74,7.324464189,R,lettuce
75,7.331093661,R,lettuce
76,8.081141527,R,lettuce
77,8.285254587,R,lettuce
78,7.874854683,R,lettuce
79,5.949529281,R,lettuce
80,7.703878003,R,lettuce
81,5.852292628,R,lettuce
82,10.02360815,R,lettuce
83,8.91797901,R,lettuce
84,5.076224502,R,lettuce
85,7.652661269,R,lettuce
86,7.576256707,R,lettuce
87,6.758128179,R,lettuce
88,9.523313369,R,lettuce
89,5.730502681,R,lettuce
90,8.224245855,R,lettuce
91,9.140327125,R,lettuce
92,7.501046714,R,lettuce
93,7.21860151,R,lettuce
94,9.443853126,R,lettuce
95,13.06718863,R,lettuce
96,9.913813135,R,lettuce
97,12.72391411,R,lettuce
98,16.49982488,R,lettuce
99,11.93980511,R,lettuce
100,9.377281382,R,lettuce
101,10.40457951,R,lettuce
102,11.07007061,R,lettuce
103,11.34987498,R,lettuce
104,9.944781051,R,lettuce
105,10.4529739,R,lettuce
106,11.82811851,R,lettuce
107,9.82451854,R,lettuce
108,9.124300007,R,lettuce
109,10.22625756,R,lettuce
110,14.03637594,R,lettuce
111,6.358573136,R,lettuce
112,5.217102306,R,lettuce
113,4.360171075,R,lettuce
114,5.872015352,R,lettuce
115,4.460668502,R,lettuce
116,7.680218308,R,lettuce
117,5.6087764,R,lettuce
118,7.03835567,R,lettuce
119,6.445261665,R,lettuce
120,7.0157382,R,lettuce
121,8.446908746,R,lettuce
122,6.603392616,R,lettuce
123,6.889893025,R,lettuce
124,7.902303661,R,lettuce
125,6.436963845,R,lettuce
126,5.612255909,R,lettuce
127,6.227908303,R,lettuce
128,4.723685897,R,lettuce
65,0.308891483,R,dulse
66,0.922327167,R,dulse
67,1.351667425,R,dulse
68,1.402773725,R,dulse
69,0.992059314,R,dulse
70,1.869188949,R,dulse
71,1.890651842,R,dulse
72,1.475390071,R,dulse
73,1.823551984,R,dulse
74,2.120640607,R,dulse
75,1.017314806,R,dulse
76,1.641579019,R,dulse
77,0.611784302,R,dulse
78,0.839965747,R,dulse
79,0.00783748,R,dulse
80,1.83622536,R,dulse
81,0.182125752,R,dulse
82,0.585135186,R,dulse
83,1.433092546,R,dulse
84,1.60077973,R,dulse
85,1.230358926,R,dulse
86,1.368920914,R,dulse
87,0.363542637,R,dulse
88,2.379991966,R,dulse
89,0.056855234,R,dulse
90,1.549753367,R,dulse
91,2.024205163,R,dulse
92,1.157098197,R,dulse
93,0.853579658,R,dulse
94,0.615296114,R,dulse
95,0.825619591,R,dulse
96,0.681385237,R,dulse
97,1.726833241,R,dulse
98,0.472842855,R,dulse
99,0.451671681,R,dulse
100,0.212202634,R,dulse
101,1.922334233,R,dulse
102,0.533616342,R,dulse
103,0.54740468,R,dulse
104,0.819449092,R,dulse
105,1.248589677,R,dulse
106,1.297039417,R,dulse
107,2.024550071,R,dulse
108,4.004630277,R,dulse
109,3.422191355,R,dulse
110,1.19027845,R,dulse
111,2.726185379,R,dulse
112,0.761942214,R,dulse
113,1.171736765,R,dulse
114,1.896520732,R,dulse
115,3.402007461,R,dulse
116,2.720380076,R,dulse
117,1.045740316,R,dulse
118,4.453141349,R,dulse
119,1.168161043,R,dulse
120,1.91830962,R,dulse
121,1.631275232,R,dulse
122,0.82603097,R,dulse
123,2.045171388,R,dulse
124,3.791609855,R,dulse
125,1.802442653,R,dulse
126,1.551520675,R,dulse
127,1.667410765,R,dulse
128,0.786849703,R,dulse
